<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	02:59:00	1.08097	1.08097	1.08083	1.08083	49	0	0
2024.02.01	03:00:00	1.08084	1.08084	1.08062	1.08074	61	0	0
2024.02.01	03:01:00	1.08075	1.08085	1.08064	1.08064	107	0	0
2024.02.01	03:02:00	1.08064	1.08064	1.08060	1.08062	25	0	0
2024.02.01	03:03:00	1.08062	1.08074	1.08059	1.08073	55	0	0
2024.02.01	03:04:00	1.08074	1.08078	1.08072	1.08077	28	0	0
2024.02.01	03:05:00	1.08078	1.08078	1.08061	1.08061	59	0	0
2024.02.01	03:06:00	1.08060	1.08064	1.08060	1.08061	50	0	0
2024.02.01	03:07:00	1.08061	1.08064	1.08059	1.08063	24	0	0
2024.02.01	03:08:00	1.08065	1.08066	1.08045	1.08059	60	0	0
2024.02.01	03:09:00	1.08058	1.08066	1.08056	1.08058	32	0	0
2024.02.01	03:10:00	1.08057	1.08079	1.08056	1.08079	49	0	0
2024.02.01	03:11:00	1.08078	1.08082	1.08076	1.08079	48	0	0
2024.02.01	03:12:00	1.08078	1.08083	1.08070	1.08082	23	0	0
2024.02.01	03:13:00	1.08081	1.08101	1.08078	1.08101	44	0	0
2024.02.01	03:14:00	1.08100	1.08110	1.08097	1.08102	64	0	0
2024.02.01	03:15:00	1.08103	1.08113	1.08101	1.08112	46	0	0
2024.02.01	03:16:00	1.08113	1.08125	1.08104	1.08107	69	0	0
2024.02.01	03:17:00	1.08106	1.08109	1.08090	1.08104	49	0	0
2024.02.01	03:18:00	1.08104	1.08105	1.08093	1.08093	28	0	0
2024.02.01	03:19:00	1.08093	1.08094	1.08085	1.08086	55	0	0
2024.02.01	03:20:00	1.08085	1.08092	1.08084	1.08087	64	0	0
2024.02.01	03:21:00	1.08087	1.08115	1.08087	1.08109	76	0	0
2024.02.01	03:22:00	1.08108	1.08113	1.08101	1.08112	43	0	0
2024.02.01	03:23:00	1.08112	1.08120	1.08111	1.08112	31	0	0
2024.02.01	03:24:00	1.08113	1.08123	1.08112	1.08117	44	0	0
2024.02.01	03:25:00	1.08118	1.08118	1.08113	1.08115	22	0	0
2024.02.01	03:26:00	1.08115	1.08120	1.08111	1.08120	12	0	0
2024.02.01	03:27:00	1.08120	1.08120	1.08110	1.08112	23	0	0
2024.02.01	03:28:00	1.08112	1.08115	1.08104	1.08104	31	0	0
2024.02.01	03:29:00	1.08104	1.08105	1.08095	1.08099	47	0	0
2024.02.01	03:30:00	1.08100	1.08103	1.08091	1.08091	34	0	0
2024.02.01	03:31:00	1.08092	1.08092	1.08071	1.08080	113	0	0
2024.02.01	03:32:00	1.08076	1.08083	1.08068	1.08071	57	0	0
2024.02.01	03:33:00	1.08072	1.08090	1.08071	1.08089	65	0	0
2024.02.01	03:34:00	1.08089	1.08093	1.08081	1.08093	75	0	0
2024.02.01	03:35:00	1.08094	1.08101	1.08091	1.08092	76	0	0
2024.02.01	03:36:00	1.08092	1.08092	1.08081	1.08084	43	0	0
2024.02.01	03:37:00	1.08085	1.08090	1.08081	1.08088	53	0	0
2024.02.01	03:38:00	1.08087	1.08087	1.08074	1.08074	26	0	1
2024.02.01	03:39:00	1.08074	1.08077	1.08068	1.08075	47	0	0
2024.02.01	03:40:00	1.08076	1.08091	1.08075	1.08090	54	0	0
2024.02.01	03:41:00	1.08091	1.08092	1.08083	1.08083	56	0	0
2024.02.01	03:42:00	1.08081	1.08081	1.08075	1.08080	22	0	1
2024.02.01	03:43:00	1.08079	1.08082	1.08079	1.08082	26	0	0
2024.02.01	03:44:00	1.08081	1.08093	1.08081	1.08091	41	0	0
2024.02.01	03:45:00	1.08092	1.08102	1.08085	1.08101	33	0	0
2024.02.01	03:46:00	1.08099	1.08102	1.08097	1.08101	45	0	0
2024.02.01	03:47:00	1.08102	1.08102	1.08094	1.08097	57	0	0
2024.02.01	03:48:00	1.08096	1.08102	1.08092	1.08092	53	0	0
2024.02.01	03:49:00	1.08091	1.08093	1.08085	1.08086	45	0	0
2024.02.01	03:50:00	1.08085	1.08093	1.08083	1.08087	57	0	0
2024.02.01	03:51:00	1.08083	1.08083	1.08067	1.08070	44	0	0
2024.02.01	03:52:00	1.08069	1.08078	1.08068	1.08072	16	0	1
2024.02.01	03:53:00	1.08071	1.08076	1.08067	1.08072	17	0	1
2024.02.01	03:54:00	1.08072	1.08072	1.08065	1.08066	9	0	1
2024.02.01	03:55:00	1.08068	1.08079	1.08068	1.08077	23	0	0
2024.02.01	03:56:00	1.08078	1.08101	1.08078	1.08098	57	0	0
2024.02.01	03:57:00	1.08098	1.08102	1.08096	1.08099	41	0	0
2024.02.01	03:58:00	1.08098	1.08098	1.08080	1.08089	42	0	0
2024.02.01	03:59:00	1.08091	1.08091	1.08085	1.08089	56	0	0
2024.02.01	04:00:00	1.08088	1.08089	1.08085	1.08089	23	0	0
2024.02.01	04:01:00	1.08089	1.08102	1.08089	1.08100	33	0	0
2024.02.01	04:02:00	1.08101	1.08106	1.08094	1.08106	64	0	0
2024.02.01	04:03:00	1.08105	1.08111	1.08105	1.08106	30	0	0
2024.02.01	04:04:00	1.08106	1.08107	1.08104	1.08105	12	0	0
2024.02.01	04:05:00	1.08106	1.08121	1.08105	1.08121	55	0	0
2024.02.01	04:06:00	1.08121	1.08142	1.08119	1.08131	99	0	0
2024.02.01	04:07:00	1.08132	1.08153	1.08130	1.08146	107	0	0
2024.02.01	04:08:00	1.08146	1.08147	1.08139	1.08139	31	0	0
2024.02.01	04:09:00	1.08139	1.08146	1.08138	1.08140	74	0	0
2024.02.01	04:10:00	1.08139	1.08156	1.08139	1.08155	72	0	0
2024.02.01	04:11:00	1.08156	1.08157	1.08142	1.08142	117	0	0
2024.02.01	04:12:00	1.08143	1.08161	1.08142	1.08160	64	0	0
2024.02.01	04:13:00	1.08161	1.08180	1.08160	1.08175	65	0	0
2024.02.01	04:14:00	1.08177	1.08182	1.08165	1.08168	70	0	0
2024.02.01	04:15:00	1.08168	1.08186	1.08168	1.08184	54	0	0
2024.02.01	04:16:00	1.08183	1.08186	1.08169	1.08169	77	0	0
2024.02.01	04:17:00	1.08169	1.08182	1.08168	1.08169	72	0	0
2024.02.01	04:18:00	1.08168	1.08174	1.08164	1.08172	75	0	0
